"","region","scenario","Trade","ReactorCost","FuelCost","Technology","year","Material","demand_type","Units","annual_material_demand"
"35","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2045,"Copper","installation_demand","kt",0.345031594045748
"36","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2045,"Zirconium","installation_demand","kt",0.00844975332356933
"37","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2050,"Copper","installation_demand","kt",0.759697004637502
"38","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2050,"Zirconium","installation_demand","kt",0.0186048246033674
"39","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2055,"Copper","installation_demand","kt",0.851795119952701
"40","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2055,"Zirconium","installation_demand","kt",0.0208602886519029
"41","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2060,"Copper","installation_demand","kt",0.882581978105372
"42","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2060,"Zirconium","installation_demand","kt",0.0216142525250295
"43","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2065,"Copper","installation_demand","kt",1.03702415736263
"44","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2065,"Zirconium","installation_demand","kt",0.0253965099762278
"45","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2070,"Copper","installation_demand","kt",1.16649064444984
"46","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2070,"Zirconium","installation_demand","kt",0.0285671178232614
"47","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2075,"Copper","installation_demand","kt",1.22303957044855
"48","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2075,"Zirconium","installation_demand","kt",0.0299519894803726
"49","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2080,"Copper","installation_demand","kt",1.63604207196753
"50","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2080,"Zirconium","installation_demand","kt",0.0400663364563477
"51","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2085,"Copper","installation_demand","kt",1.29659825310727
"52","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2085,"Zirconium","installation_demand","kt",0.0317534266067087
