"Units","scenario","Trade","ReactorCost","FuelCost","region","Technology","year","value"
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2050,3.0126478402626
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2055,3.11989668456737
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2060,3.07396940116465
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2065,3.5517916921875
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2070,3.90185987950076
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2075,4.00309139444214
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2080,5.24253857973581
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2085,4.15979409966442
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2090,3.66034894786008
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2095,4.19042591788465
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2100,3.64303975580682
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2035,0.354766883345041
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2040,0.5654620014169
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2045,0.657544858747452
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2050,1.13484582961595
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2055,0.921077307758252
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2060,0.794008075623996
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2065,0.84907038735246
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2070,0.880615367673135
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2075,0.862086354605104
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2080,1.08967837885651
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2085,0.841066589688464
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2090,0.731834684404363
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2095,0.833079828630821
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2100,0.647299043687583
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2030,1.54690341280024
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2035,2.87222531606993
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2040,6.17461131323341
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2045,7.55140761893391
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2050,12.7891759488913
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2055,10.2778098065977
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2060,8.85406061379213
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2065,9.46039343384659
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2070,9.79366352729714
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2075,9.56734924852211
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2080,12.0618491505275
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2085,9.26208733591363
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2090,8.01439443314577
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2095,9.07373061609002
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2100,7.17687486489971
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2035,0.185414157174551
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2040,0.265137978793378
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2045,0.301343152415477
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2050,0.547484974394662
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2055,0.473406402656511
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2060,0.420749659744898
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2065,0.453010177532342
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2070,0.470346628155759
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2075,0.462332608527953
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2080,0.581142493902939
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2085,0.440719969710277
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2090,0.379916321641315
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2095,0.430566152324706
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2100,0.410163112557996
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2035,0.365608979627217
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2040,0.610929296448127
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2045,0.835536507266726
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2050,1.7465417733499
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2055,1.77415811224589
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2060,1.73150867190522
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2065,1.97814421473647
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2070,2.15514092544481
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2075,2.2030580844694
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2080,2.86522327085942
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2085,2.24183680784698
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2090,1.96187766299194
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2095,2.24568026623991
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2100,2.16322309149803
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2035,0.362889937253497
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2040,0.544602380599966
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2045,0.68085434355775
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2050,1.31421403592843
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2055,1.2090163990284
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2060,1.11353644239133
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2065,1.2285471645499
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2070,1.30305846608938
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2075,1.30449294834419
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2080,1.66396874968482
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2085,1.28254979936329
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2090,1.11869853411587
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2095,1.2798852741299
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2100,1.23100725050708
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2035,0.431353243538152
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2040,0.853942856769025
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2045,1.28040659428426
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2050,2.83972969311484
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2055,3.05007044977458
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2060,3.06720246112178
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2065,3.56947568958049
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2070,3.94472398108146
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2075,4.07648509460496
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2080,5.34826775875402
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2085,4.21826373266321
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2090,3.70699517605084
