"region","year","Technology_detailed","value","Technology","Units","scenario","Trade","ReactorCost","FuelCost"
"USA",2055,"Nuclear - Large - PWR",267.319388888889,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2055,"Nuclear - Legacy",534.243666666667,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2055,"Nuclear - SMR - BWR",63.9245277777778,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2055,"Nuclear - SMR - HTGR",39.2993611111111,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2055,"Nuclear - SMR - MSR",11.2420055555556,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2055,"Nuclear - SMR - PWR modular",20.7836638888889,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2055,"Nuclear - SMR - SFR",27.2941833333333,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2060,"Nuclear - Large - PWR",329.571777777778,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2060,"Nuclear - Legacy",415.915638888889,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2060,"Nuclear - SMR - BWR",88.2608888888889,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2060,"Nuclear - SMR - HTGR",52.7083888888889,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2060,"Nuclear - SMR - MSR",13.9098138888889,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2060,"Nuclear - SMR - PWR modular",26.0114055555556,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2060,"Nuclear - SMR - SFR",35.2096083333333,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2065,"Nuclear - Large - PWR",398.808527777778,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2065,"Nuclear - Legacy",237.980694444444,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2065,"Nuclear - SMR - BWR",116.881027777778,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2065,"Nuclear - SMR - HTGR",68.2268333333333,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2065,"Nuclear - SMR - MSR",16.9441277777778,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2065,"Nuclear - SMR - PWR modular",31.8577472222222,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2065,"Nuclear - SMR - SFR",44.1603194444444,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2070,"Nuclear - Large - PWR",474.268777777778,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2070,"Nuclear - Legacy",46.1193333333333,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2070,"Nuclear - SMR - BWR",149.121055555556,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2070,"Nuclear - SMR - HTGR",85.5211111111111,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2070,"Nuclear - SMR - MSR",20.3598833333333,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2070,"Nuclear - SMR - PWR modular",38.2812444444444,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2070,"Nuclear - SMR - SFR",54.039525,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2075,"Nuclear - Large - PWR",551.165416666667,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2075,"Nuclear - Legacy",18.0571666666667,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2075,"Nuclear - SMR - BWR",182.956083333333,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2075,"Nuclear - SMR - HTGR",103.517166666667,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2075,"Nuclear - SMR - MSR",23.9004361111111,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2075,"Nuclear - SMR - PWR modular",44.8783805555556,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2075,"Nuclear - SMR - SFR",64.2376472222222,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2080,"Nuclear - Large - PWR",651.364083333333,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2080,"Nuclear - Legacy",9.22316666666667,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2080,"Nuclear - SMR - BWR",228.246611111111,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2080,"Nuclear - SMR - HTGR",127.4405,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2080,"Nuclear - SMR - MSR",28.5427361111111,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2080,"Nuclear - SMR - PWR modular",53.5401527777778,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2080,"Nuclear - SMR - SFR",77.6966138888889,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2085,"Nuclear - Large - PWR",726.382944444444,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2085,"Nuclear - Legacy",9.21652777777778,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2085,"Nuclear - SMR - BWR",264.00325,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2085,"Nuclear - SMR - HTGR",146.104694444444,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2085,"Nuclear - SMR - MSR",31.7111194444444,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2085,"Nuclear - SMR - PWR modular",60.1049166666667,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2085,"Nuclear - SMR - SFR",88.0234166666667,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2090,"Nuclear - Large - PWR",777.097333333333,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2090,"Nuclear - Legacy",9.19841666666667,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2090,"Nuclear - SMR - BWR",295.165333333333,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2090,"Nuclear - SMR - HTGR",162.251444444444,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2090,"Nuclear - SMR - MSR",34.2001722222222,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2090,"Nuclear - SMR - PWR modular",65.6828138888889,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2090,"Nuclear - SMR - SFR",96.8686055555556,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2095,"Nuclear - Large - PWR",826.647777777778,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2095,"Nuclear - Legacy",9.17305555555556,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2095,"Nuclear - SMR - BWR",327.35125,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2095,"Nuclear - SMR - HTGR",177.784361111111,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2095,"Nuclear - SMR - MSR",35.7102944444444,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2095,"Nuclear - SMR - PWR modular",69.3871111111111,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2095,"Nuclear - SMR - SFR",104.19875,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2100,"Nuclear - Large - PWR",865.615555555555,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2100,"Nuclear - SMR - BWR",356.319555555556,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2100,"Nuclear - SMR - HTGR",191.850444444444,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2100,"Nuclear - SMR - MSR",37.5830305555556,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2100,"Nuclear - SMR - PWR modular",72.8504722222222,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2100,"Nuclear - SMR - SFR",111.219916666667,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2021,"Nuclear - Legacy",811.546555555556,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2025,"Nuclear - Large - PWR",18.3333333333333,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2025,"Nuclear - Legacy",808.449611111111,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2030,"Nuclear - Large - PWR",31.1176111111111,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2030,"Nuclear - Legacy",808.334138888889,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2035,"Nuclear - Large - PWR",53.5061111111111,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2035,"Nuclear - Legacy",788.266722222222,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2035,"Nuclear - SMR - BWR",3.4245,"Nuclear - SMR - BWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2035,"Nuclear - SMR - HTGR",2.92266666666667,"Nuclear - SMR - HTGR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2035,"Nuclear - SMR - MSR",1.52058888888889,"Nuclear - SMR - MSR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2035,"Nuclear - SMR - PWR modular",2.72373055555556,"Nuclear - SMR - PWR modular","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2035,"Nuclear - SMR - SFR",2.79147222222222,"Nuclear - SMR - SFR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2040,"Nuclear - Large - PWR",97.2599444444444,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2040,"Nuclear - Legacy",787.544861111111,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2040,"Nuclear - SMR - BWR",10.1934722222222,"Nuclear - SMR - BWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2040,"Nuclear - SMR - HTGR",7.87430555555556,"Nuclear - SMR - HTGR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
